timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:15:39.993792,True,15.0,1904.0,8188.0,42.0,17.06,50.0,0.4,6.9,6.0
2024-11-27T15:15:41.661425,True,17.0,1912.0,8188.0,42.0,21.25,50.0,0.4,6.9,4.0
2024-11-27T15:15:43.347061,True,19.0,1912.0,8188.0,42.0,17.62,50.0,0.2,6.9,4.0
2024-11-27T15:15:45.041935,True,48.0,1912.0,8188.0,42.0,13.14,50.0,0.3,6.9,58.0
2024-11-27T15:15:46.721007,True,23.0,1912.0,8188.0,42.0,19.08,50.0,0.3,6.9,50.0
2024-11-27T15:15:48.402804,True,37.0,1912.0,8188.0,41.0,17.1,50.0,0.3,6.9,28.0
2024-11-27T15:15:48.911795,True,17.0,1912.0,8188.0,41.0,20.62,50.0,0.2,6.9,40.0
2024-11-27T15:15:50.562515,True,39.0,1912.0,8188.0,41.0,15.63,50.0,0.3,6.9,44.0
2024-11-27T15:15:52.234118,True,17.0,1912.0,8188.0,41.0,21.22,50.0,0.1,6.9,44.0
2024-11-27T15:15:53.888831,True,34.0,1912.0,8188.0,41.0,13.93,50.0,0.3,6.9,34.0
2024-11-27T15:15:55.553568,True,23.0,1912.0,8188.0,41.0,21.19,50.0,0.4,6.9,22.0
2024-11-27T15:15:57.203743,True,50.0,1911.0,8188.0,41.0,13.29,50.0,0.3,6.9,54.0
2024-11-27T15:15:58.879708,True,17.0,1911.0,8188.0,41.0,21.45,50.0,0.2,6.9,66.0
2024-11-27T15:16:00.535766,True,20.0,1911.0,8188.0,40.0,14.5,50.0,0.5,6.9,6.0
2024-11-27T15:16:02.192279,True,14.0,1911.0,8188.0,40.0,20.92,50.0,0.3,6.9,12.0
2024-11-27T15:16:03.868112,True,17.0,1911.0,8188.0,40.0,14.74,50.0,0.2,6.9,6.0
2024-11-27T15:16:05.532001,True,36.0,1911.0,8188.0,40.0,16.0,50.0,0.3,6.9,38.0
2024-11-27T15:16:07.187273,True,36.0,1911.0,8188.0,40.0,13.18,50.0,0.2,6.9,1
2024-11-27T15:16:08.827181,True,22.0,1911.0,8188.0,40.0,20.65,50.0,0.3,6.9,28.0
2024-11-27T15:16:10.494939,True,47.0,1911.0,8188.0,40.0,12.91,50.0,0.3,6.9,50.0
2024-11-27T15:16:12.163703,True,16.0,1911.0,8188.0,40.0,20.74,50.0,0.3,6.9,62.0
2024-11-27T15:16:13.800559,True,38.0,1911.0,8188.0,39.0,15.8,50.0,0.5,6.9,44.0
2024-11-27T15:16:15.441759,True,16.0,1911.0,8188.0,39.0,15.8,50.0,0.3,6.9,44.0
2024-11-27T15:16:17.099756,True,32.0,1911.0,8188.0,39.0,18.71,50.0,0.2,6.9,32.0
2024-11-27T15:16:18.800846,True,41.0,1912.0,8188.0,39.0,12.76,50.0,0.5,6.9,18.0
2024-11-27T15:16:19.373897,True,10.0,1914.0,8188.0,40.0,27.19,50.0,0.2,6.9,62.0
2024-11-27T15:16:20.987973,True,9.0,1915.0,8188.0,40.0,26.78,50.0,0.2,6.9,2.0
2024-11-27T15:16:22.649406,True,42.0,1893.0,8188.0,39.0,12.09,50.0,0.2,6.9,66.0
